epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,907.118,0.29533,0.06845,0.54093,0.50606,0.52579,0.56476,0.40031,1.2639,0.48489,0.91409,0.000412749,0.000412749,0.000412749
78,916.004,0.29874,0.06825,0.5429,0.50714,0.55776,0.57291,0.42322,1.1891,0.42974,0.86906,0.000396246,0.000396246,0.000396246
79,925.117,0.29685,0.06912,0.54143,0.49318,0.53145,0.57627,0.41319,1.25592,0.48032,0.94602,0.000379743,0.000379743,0.000379743
80,934.483,0.31468,0.0727,0.54529,0.51244,0.56491,0.58271,0.43602,1.15008,0.39256,0.83959,0.000363239,0.000363239,0.000363239
81,943.91,0.29822,0.06795,0.54138,0.49859,0.55997,0.58072,0.41279,1.23306,0.47115,0.88952,0.000346736,0.000346736,0.000346736
82,953.29,0.28379,0.0661,0.54265,0.50628,0.55342,0.57795,0.43838,1.20161,0.42024,0.83981,0.000330233,0.000330233,0.000330233
83,963.052,0.28202,0.06566,0.54447,0.50949,0.54831,0.58057,0.41738,1.28736,0.42906,0.92512,0.000313729,0.000313729,0.000313729
84,972.475,0.28011,0.06484,0.54288,0.52847,0.53648,0.58172,0.44068,1.21718,0.39444,0.86576,0.000297226,0.000297226,0.000297226
85,981.89,0.26463,0.06236,0.54145,0.49731,0.55696,0.58591,0.43384,1.23349,0.42095,0.87676,0.000280723,0.000280723,0.000280723
86,990.986,0.25491,0.06139,0.53806,0.499,0.56118,0.58264,0.44596,1.17694,0.39256,0.81548,0.00026422,0.00026422,0.00026422
87,1000.68,0.24705,0.06074,0.53968,0.49838,0.55974,0.58345,0.44515,1.19468,0.42528,0.85529,0.000247716,0.000247716,0.000247716
88,1009.99,0.25246,0.06102,0.53779,0.4959,0.56329,0.57493,0.43706,1.22533,0.41579,0.8148,0.000231213,0.000231213,0.000231213
89,1018.79,0.24761,0.06057,0.53852,0.50118,0.54991,0.58044,0.43823,1.1844,0.41535,0.85631,0.00021471,0.00021471,0.00021471
90,1028.23,0.23543,0.05871,0.53581,0.50014,0.57384,0.59202,0.43668,1.14545,0.35096,0.76834,0.000198206,0.000198206,0.000198206
91,1037.83,0.23032,0.05681,0.53581,0.50021,0.57386,0.59454,0.45153,1.09563,0.33715,0.73809,0.000181703,0.000181703,0.000181703
92,1047,0.23064,0.05677,0.53558,0.50189,0.57595,0.59231,0.44249,1.10433,0.36286,0.7755,0.0001652,0.0001652,0.0001652
93,1055.87,0.22531,0.05729,0.53676,0.49691,0.55572,0.57984,0.43775,1.12211,0.38216,0.74877,0.000148696,0.000148696,0.000148696
94,1064.66,0.22421,0.05625,0.5352,0.50492,0.57705,0.59324,0.4373,1.13026,0.34905,0.7556,0.000132193,0.000132193,0.000132193
95,1073.51,0.2227,0.0561,0.53449,0.49978,0.56329,0.58197,0.44336,1.12376,0.39099,0.77333,0.00011569,0.00011569,0.00011569
